"source","target"
"Aleja Przyjaźni","Os.Kolorowe"
"Os.Kolorowe","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Centralna"
"Centralna","Sołtysowska"
"Sołtysowska","Sołtysowska Zakłady"
"Sołtysowska Zakłady","Sołtysowska Osiedle"
"Sołtysowska Osiedle","Sikorki"
"Sikorki","Na Załęczu"
"Na Załęczu","Habina"
"Habina","Odmętowa"
"Odmętowa","Lasek Łęgowski"
"Lasek Łęgowski","Lesisko - Aleja Przyjaźni"

"Prądnik Czerwony","Powstańców Garaże"
"Powstańców Garaże","Powstańców"
"Powstańców","Majora"
"Majora","Aleja 29 Listopada"
"Aleja 29 Listopada","Opolska Estakada"
"Opolska Estakada","Uniwersytet Rolniczy"
"Uniwersytet Rolniczy","Biskupa Prandoty"
"Biskupa Prandoty","Cmentarz Rakowicki Zachód"
"Cmentarz Rakowicki Zachód","Politechnika"
"Politechnika","Dworzec Główny Zachód - Prądnik Czerwony"
"Dworzec Główny Zachód - Prądnik Czerwony","Cmentarz Batowice - Dworzec Główny Zachód"

"Łagiewniki","Łagiewniki"
"Łagiewniki","Borsucza"
"Borsucza","Lipińskiego"
"Lipińskiego","Grota-Roweckiego"
"Grota-Roweckiego","Rostworowskiego"
"Rostworowskiego","Zachodnia"
"Zachodnia","Torfowa"
"Torfowa","Lubostroń"
"Lubostroń","Skośna"
"Skośna","Kobierzyn"
"Kobierzyn","Babińskiego"
"Babińskiego","Skotniki"
"Skotniki","Brücknera"
"Brücknera","Skotniki Szkoła - Łagiewniki"

"Dworzec Płaszów","Dworcowa"
"Dworcowa","Kabel"
"Kabel","Sułkowskiego"
"Sułkowskiego","Malborska Szkoła"
"Malborska Szkoła","Wola Duchacka"
"Wola Duchacka","Karpińskiego"
"Karpińskiego","Tuchowska"
"Tuchowska","Bochenka"
"Bochenka","Łużycka"
"Łużycka","Piaski Wielkie"
"Piaski Wielkie","Hala Sportowa Piaski Wielkie"
"Hala Sportowa Piaski Wielkie","Niebieska Autostrada"
"Niebieska Autostrada","Kosocice"
"Kosocice","Szczegów"
"Szczegów","Żelazowskiego"
"Żelazowskiego","Barycz"
"Barycz","Krzemieniecka"
"Krzemieniecka","Drużbackiej"
"Drużbackiej","Soboniowice - Dworzec Płaszów"

"Cracovia Stadion","Cracovia"
"Cracovia","Jubilat"
"Jubilat","Komorowskiego"
"Komorowskiego","Salwator"
"Salwator","Malczewskiego"
"Malczewskiego","Księcia Józefa"
"Księcia Józefa","Benedyktowicza"
"Benedyktowicza","Glinnik"
"Glinnik","Przegorzały"
"Przegorzały","Zaskale"
"Zaskale","Na Krępaku"
"Na Krępaku","Bielańskie Skały"
"Bielańskie Skały","Wodociągi"
"Wodociągi","Bielany Klasztor"
"Bielany Klasztor","Bielany Szkoła"
"Bielany Szkoła","Bielany - Cracovia Stadion"

"Aleja Przyjaźni","Aleja Róż"
"Aleja Róż","Żeromskiego"
"Żeromskiego","Teatr Ludowy"
"Teatr Ludowy","Kocmyrzowska"
"Kocmyrzowska","Wańkowicza"
"Wańkowicza","Darwina"
"Darwina","Cmentarz Grębałów Południe"
"Cmentarz Grębałów Południe","Cmentarz Grębałów"
"Cmentarz Grębałów","Lubocza Bugaj"
"Lubocza Bugaj","Lubocza Przychodnia"
"Lubocza Przychodnia","Lubocza Szkoła"
"Lubocza Szkoła","Lubocza Trafo"
"Lubocza Trafo","Wadowska"
"Wadowska","Wadów"
"Wadów","Wadów Os.Kolejowe"
"Wadów Os.Kolejowe","Wadów Glinik"
"Wadów Glinik","Wadów Działki"
"Wadów Działki","Węgrzynowicka"
"Węgrzynowicka","Węgrzynowice Dół"
"Węgrzynowice Dół","Barwna"
"Barwna","Węgrzynowice Centrum"
"Węgrzynowice Centrum","Węgrzynowice - Aleja Przyjaźni"
"Węgrzynowice - Aleja Przyjaźni","Wadów Tunel - Aleja Przyjaźni"

"Pleszów","Zakład Przeróbki"
"Zakład Przeróbki","Szymańskiego"
"Szymańskiego","Wyciąże"
"Wyciąże","Ruszcza Cmentarz"
"Ruszcza Cmentarz","Ruszcza"
"Ruszcza","Ruszcza Cmentarz"
"Ruszcza Cmentarz","Wyciąże"
"Wyciąże","Wyciąże Sklep"
"Wyciąże Sklep","Wyciąska"
"Wyciąska","Podstawie"
"Podstawie","Drożyska"
"Drożyska","Przylasek Wyciąski"
"Przylasek Wyciąski","Siejówka"
"Siejówka","Bartnicza"
"Bartnicza","Wolica Sklep"
"Wolica Sklep","Wolica Kościół"
"Wolica Kościół","Wolica Most - Pleszów"

"Os.Podwawelskie","Centrum Kongresowe"
"Centrum Kongresowe","Centrum Kongresowe"
"Centrum Kongresowe","Rynek Dębnicki"
"Rynek Dębnicki","Praska"
"Praska","Zielińskiego"
"Zielińskiego","Os.Robotnicze"
"Os.Robotnicze","Park Skały Twardowskiego"
"Park Skały Twardowskiego","Pychowice"
"Pychowice","Rodzinna"
"Rodzinna","Górka Pychowicka"
"Górka Pychowicka","Fort Bodzów"
"Fort Bodzów","Kostrze Szkoła"
"Kostrze Szkoła","Wały Wiślane"
"Wały Wiślane","Kostrze Kapliczka"
"Kostrze Kapliczka","Kolna"
"Kolna","Tyniecka Autostrada"
"Tyniecka Autostrada","Bolesława Śmiałego"
"Bolesława Śmiałego","Tyniec"
"Tyniec","Bogucianka"
"Bogucianka","Tyniec Kamieniołom - Os.Podwawelskie"

"Czyżyny Dworzec","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Centralna"
"Centralna","Sołtysowska"
"Sołtysowska","Sołtysowska Zakłady"
"Sołtysowska Zakłady","Sołtysowska Osiedle"
"Sołtysowska Osiedle","Sikorki"
"Sikorki","Na Załęczu"
"Na Załęczu","Na Załęczu Szkoła"
"Na Załęczu Szkoła","Siwka"
"Siwka","Wiklinowa"
"Wiklinowa","Isep"
"Isep","Zatyka"
"Zatyka","Szafrańska"
"Szafrańska","EC Łęg - Czyżyny Dworzec"

"Dworzec Główny Wschód","Muzeum Armii Krajowej"
"Muzeum Armii Krajowej","Cmentarz Rakowicki Zachód"
"Cmentarz Rakowicki Zachód","Biskupa Prandoty"
"Biskupa Prandoty","Uniwersytet Rolniczy"
"Uniwersytet Rolniczy","Opolska Estakada"
"Opolska Estakada","Aleja 29 Listopada"
"Aleja 29 Listopada","Kuźnicy Kołłątajowskiej"
"Kuźnicy Kołłątajowskiej","Słomczyńskiego"
"Słomczyńskiego","Natansona"
"Natansona","Dożynkowa"
"Dożynkowa","Witkowice Nowe"
"Witkowice Nowe","Witkowice - Dworzec Główny Wschód"

"Kombinat","Zajezdnia Nowa Huta"
"Zajezdnia Nowa Huta","Elektromontaż"
"Elektromontaż","Lubocza PKP"
"Lubocza PKP","Lubocza Bugaj"
"Lubocza Bugaj","Lubocza Przychodnia"
"Lubocza Przychodnia","Lubocza Szkoła"
"Lubocza Szkoła","Lubocza Trafo"
"Lubocza Trafo","Wadowska"
"Wadowska","Wadów"
"Wadów","Wadów Szkoła"
"Wadów Szkoła","Wadów Osiedle"
"Wadów Osiedle","Łuczanowice Skrzyżowanie"
"Łuczanowice Skrzyżowanie","Bystronia"
"Bystronia","Łuczanowice - Kombinat"
"Łuczanowice - Kombinat","Kombinat - Łuczanowice"

"Krowodrza Górka","Krowoderskich Zuchów"
"Krowoderskich Zuchów","Batalionu Skała AK"
"Batalionu Skała AK","Makowskiego"
"Makowskiego","Różyckiego"
"Różyckiego","Conrada"
"Conrada","Rondo Ofiar Katynia"
"Rondo Ofiar Katynia","Katowicka"
"Katowicka","Ojcowska Dworek"
"Ojcowska Dworek","Ojcowska Wągroda"
"Ojcowska Wągroda","Ojcowska"
"Ojcowska","Bronowice Wielkie"
"Bronowice Wielkie","Jasnogórska"
"Jasnogórska","Chełmońskiego Osiedle - Krowodrza Górka"

"Krowodrza Górka","Krowoderskich Zuchów"
"Krowoderskich Zuchów","Batalionu Skała AK"
"Batalionu Skała AK","Wyki"
"Wyki","Skrajna"
"Skrajna","Jordanowska"
"Jordanowska","Chabrowa"
"Chabrowa","Os.Łokietka"
"Os.Łokietka","Poziomkowa"
"Poziomkowa","Gospodarska"
"Gospodarska","Tonie Skrzyżowanie"
"Tonie Skrzyżowanie","Na Budzyniu"
"Na Budzyniu","Tonie"
"Tonie","Gaik"
"Gaik","Bronowice Wielkie"
"Bronowice Wielkie","Ojcowska"
"Ojcowska","Ojcowska Wągroda"
"Ojcowska Wągroda","Ojcowska Dworek"
"Ojcowska Dworek","Katowicka"
"Katowicka","Rondo Ofiar Katynia"
"Rondo Ofiar Katynia","Bronowice Wiadukt"
"Bronowice Wiadukt","Balicka Wiadukt"
"Balicka Wiadukt","Bronowice Małe"
"Bronowice Małe","Bronowice Małe - Krowodrza Górka"

"Aleja Przyjaźni","Aleja Róż"
"Aleja Róż","Żeromskiego"
"Żeromskiego","Teatr Ludowy"
"Teatr Ludowy","Kocmyrzowska"
"Kocmyrzowska","Wańkowicza"
"Wańkowicza","Makuszyńskiego"
"Makuszyńskiego","Nad Dłubnią"
"Nad Dłubnią","Zajezdnia Bieńczyce"
"Zajezdnia Bieńczyce","Petöfiego"
"Petöfiego","Jagiełły"
"Jagiełły","Jana Kazimierza"
"Jana Kazimierza","Leszka Białego"
"Leszka Białego","Os.Na Stoku Szkoła"
"Os.Na Stoku Szkoła","Darwina"
"Darwina","Wzgórza Krzesławickie"
"Wzgórza Krzesławickie","Grębałów"
"Grębałów","Gustawa Morcinka"
"Gustawa Morcinka","Kantorowice"
"Kantorowice","Zesławice Ogródki Działkowe"
"Zesławice Ogródki Działkowe","Zesławice - Aleja Przyjaźni"

"Mistrzejowice","Miśnieńska"
"Miśnieńska","Łęczycka"
"Łęczycka","Cedyńska"
"Cedyńska","Wiślicka"
"Wiślicka","Os.Strusia"
"Os.Strusia","Os.Na Lotnisku"
"Os.Na Lotnisku","Dunikowskiego"
"Dunikowskiego","Rondo Hipokratesa"
"Rondo Hipokratesa","Os.Jagiellońskie"
"Os.Jagiellońskie","Arka"
"Arka","Teatr Ludowy"
"Teatr Ludowy","Os.Górali"
"Os.Górali","Os.Zielone"
"Os.Zielone","Struga"
"Struga","Orkana"
"Orkana","Os.Willowe"
"Os.Willowe","Klasztorna"
"Klasztorna","Os.Wandy"
"Os.Wandy","Os.Na Skarpie"
"Os.Na Skarpie","Szpital Żeromskiego"
"Szpital Żeromskiego","Sieroszewskiego"
"Sieroszewskiego","Klasztor Cystersów"
"Klasztor Cystersów","Stare Wiślisko"
"Stare Wiślisko","Lasek Mogilski"
"Lasek Mogilski","Szparagowa"
"Szparagowa","Garbarnia"
"Garbarnia","Jeżowa"
"Jeżowa","Albatrosów"
"Albatrosów","Surzyckiego"
"Surzyckiego","Mistrzejowice - Mały Płaszów"
"Mistrzejowice - Mały Płaszów","Mały Płaszów - Mistrzejowice"
"Mały Płaszów - Mistrzejowice","Mały Płaszów - Mistrzejowice"

"Os.Podwawelskie","Centrum Kongresowe"
"Centrum Kongresowe","Centrum Kongresowe"
"Centrum Kongresowe","Konopnickiej"
"Konopnickiej","Jubilat"
"Jubilat","Cracovia"
"Cracovia","Uniwersytet Jagielloński"
"Uniwersytet Jagielloński","Teatr Bagatela"
"Teatr Bagatela","Basztowa LOT"
"Basztowa LOT","Dworzec Główny"
"Dworzec Główny","Lubicz"
"Lubicz","Rondo Mogilskie"
"Rondo Mogilskie","Cmentarz Rakowicki"
"Cmentarz Rakowicki","Narzymskiego"
"Narzymskiego","Pilotów"
"Pilotów","Akacjowa"
"Akacjowa","Spadochroniarzy"
"Spadochroniarzy","Ugorek"
"Ugorek","Wieczysta - Os.Podwawelskie"

"Szpital Rydygiera","Rondo Hipokratesa"
"Rondo Hipokratesa","DH Wanda"
"DH Wanda","Os.Na Lotnisku"
"Os.Na Lotnisku","Os.Strusia"
"Os.Strusia","Wiślicka"
"Wiślicka","Okulickiego"
"Okulickiego","Os.Oświecenia"
"Os.Oświecenia","Park Wodny"
"Park Wodny","Rondo Barei"
"Rondo Barei","Rondo Barei"
"Rondo Barei","Miechowity"
"Miechowity","Rondo Młyńskie"
"Rondo Młyńskie","Pilotów"
"Pilotów","Narzymskiego"
"Narzymskiego","Brodowicza"
"Brodowicza","Rondo Mogilskie"
"Rondo Mogilskie","Rondo Grzegórzeckie"
"Rondo Grzegórzeckie","Francesco Nullo"
"Francesco Nullo","Ofiar Dąbia"
"Ofiar Dąbia","Stoczniowców"
"Stoczniowców","Saska"
"Saska","Szczecińska"
"Szczecińska","Rzebika"
"Rzebika","Mały Płaszów"
"Mały Płaszów","Surzyckiego"
"Surzyckiego","Albatrosów"
"Albatrosów","Jeżowa"
"Jeżowa","Garbarnia"
"Garbarnia","Bacutil"
"Bacutil","Półłanki"
"Półłanki","Bieżanów Bazy"
"Bieżanów Bazy","Agatowa"
"Agatowa","Złocień - Szpital Rydygiera"
"Złocień - Szpital Rydygiera","Szpital Rydygiera - Złocień"
"Szpital Rydygiera - Złocień","Złocień - Szpital Rydygiera"

"Powstańców Wielkopolskich","Powstańców Wielkopolskich"
"Powstańców Wielkopolskich","Kuklińskiego"
"Kuklińskiego","Kuklińskiego"
"Kuklińskiego","Płaszowska"
"Płaszowska","Saska"
"Saska","Szczecińska"
"Szczecińska","Łanowa"
"Łanowa","Motyla"
"Motyla","Bagry - Powstańców Wielkopolskich"

"Zajezdnia Płaszów","Płk. Dąbka"
"Płk. Dąbka","Surzyckiego"
"Surzyckiego","Mały Płaszów"
"Mały Płaszów","Rzebika"
"Rzebika","Lipska"
"Lipska","Saska"
"Saska","Stoczniowców"
"Stoczniowców","Ofiar Dąbia"
"Ofiar Dąbia","Dąbie"
"Dąbie","TAURON Arena Kraków Al. Pokoju"
"TAURON Arena Kraków Al. Pokoju","TAURON Arena Kraków"
"TAURON Arena Kraków","Wieczysta"
"Wieczysta","Meissnera"
"Meissnera","Pszona"
"Pszona","Rondo Młyńskie"
"Rondo Młyńskie","Miechowity"
"Miechowity","Rondo Barei"
"Rondo Barei","Strzelców"
"Strzelców","Prądnik Czerwony - Zajezdnia Płaszów"
"Prądnik Czerwony - Zajezdnia Płaszów","Zajezdnia Płaszów - Cmentarz Batowice"
"Zajezdnia Płaszów - Cmentarz Batowice","Cmentarz Batowice - Zajezdnia Płaszów"

"Dworzec Główny Zachód","Politechnika"
"Politechnika","Cmentarz Rakowicki Zachód"
"Cmentarz Rakowicki Zachód","Biskupa Prandoty"
"Biskupa Prandoty","Uniwersytet Rolniczy"
"Uniwersytet Rolniczy","Brogi"
"Brogi","Bosaków"
"Bosaków","Miechowity"
"Miechowity","Rondo Młyńskie"
"Rondo Młyńskie","Miechowity"
"Miechowity","Rondo Barei"
"Rondo Barei","Park Wodny"
"Park Wodny","Os.Oświecenia"
"Os.Oświecenia","Okulickiego"
"Okulickiego","Wiślicka"
"Wiślicka","Os.Dywizjonu 303"
"Os.Dywizjonu 303","Stella-Sawickiego"
"Stella-Sawickiego","Medweckiego"
"Medweckiego","Czyżyny Dworzec - Dworzec Główny Zachód"

"Azory","Różyckiego"
"Różyckiego","Makowskiego"
"Makowskiego","Łokietka"
"Łokietka","Łobzów PKP"
"Łobzów PKP","Urząd Marszałkowski"
"Urząd Marszałkowski","Wrocławska"
"Wrocławska","Nowy Kleparz"
"Nowy Kleparz","Nowy Kleparz"
"Nowy Kleparz","Politechnika"
"Politechnika","Dworzec Główny Zachód - Azory"

"Pleszów","Zakład Przeróbki"
"Zakład Przeróbki","Szymańskiego"
"Szymańskiego","Branice Pagórek"
"Branice Pagórek","Branice Na Dole"
"Branice Na Dole","Branice Szkoła"
"Branice Szkoła","Branice"
"Branice","Branice Ośrodek Zdrowia"
"Branice Ośrodek Zdrowia","Chałupki Górne"
"Chałupki Górne","Kąkolowa"
"Kąkolowa","Truskawkowa"
"Truskawkowa","Chałupki - Pleszów"
"Chałupki - Pleszów","Pleszów - Chałupki"
"Pleszów - Chałupki","Chałupki - Pleszów"

"Kombinat","Struga"
"Struga","Aleja Róż"
"Aleja Róż","Os.Zgody"
"Os.Zgody","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","DH Wanda"
"DH Wanda","Os.Na Lotnisku"
"Os.Na Lotnisku","Os.Strusia"
"Os.Strusia","Wiślicka"
"Wiślicka","Okulickiego"
"Okulickiego","Os.Oświecenia"
"Os.Oświecenia","Park Wodny"
"Park Wodny","Rondo Barei"
"Rondo Barei","Rondo Barei"
"Rondo Barei","Olsza II"
"Olsza II","Lublańska"
"Lublańska","Opolska Estakada"
"Opolska Estakada","Imbramowska"
"Imbramowska","Mackiewicza"
"Mackiewicza","Zdrowa"
"Zdrowa","Lekarska"
"Lekarska","Bratysławska"
"Bratysławska","Nowy Kleparz"
"Nowy Kleparz","Politechnika"
"Politechnika","Dworzec Główny Zachód - Kombinat"
"Dworzec Główny Zachód - Kombinat","Kombinat - Dworzec Główny Zachód"

"Łagiewniki","Łagiewniki"
"Łagiewniki","Sucha"
"Sucha","Fredry"
"Fredry","Turowicza"
"Turowicza","Przykopy"
"Przykopy","Kurdwanów"
"Kurdwanów","Bujaka"
"Bujaka","Wysłouchów"
"Wysłouchów","Bojki"
"Bojki","Kurdwanów Szkoła"
"Kurdwanów Szkoła","Cechowa"
"Cechowa","Piaski Wielkie"
"Piaski Wielkie","Przy Kuźni"
"Przy Kuźni","Hallera"
"Hallera","Słona Woda"
"Słona Woda","Kosocicka"
"Kosocicka","Wielicka"
"Wielicka","Jerzmanowskiego"
"Jerzmanowskiego","Prokocim Szpital"
"Prokocim Szpital","Teligi"
"Teligi","Nowy Prokocim"
"Nowy Prokocim","Ćwiklińskiej"
"Ćwiklińskiej","Nowy Bieżanów"
"Nowy Bieżanów","Mała Góra"
"Mała Góra","Bieżanów Cmentarz"
"Bieżanów Cmentarz","Ks.Łaczka"
"Ks.Łaczka","Bieżanów Drożdżownia PKP"
"Bieżanów Drożdżownia PKP","Drożdżowa"
"Drożdżowa","Ślósarczyka"
"Ślósarczyka","Bieżanów Kaim"
"Bieżanów Kaim","Bieżanów Potrzask - Łagiewniki"
"Bieżanów Potrzask - Łagiewniki","Prokocim Szpital - Łagiewniki"

"Cracovia Stadion","Cracovia Błonia"
"Cracovia Błonia","Instytut Reumatologii"
"Instytut Reumatologii","Przegon"
"Przegon","Słonecznikowa"
"Słonecznikowa","Tondosa"
"Tondosa","Strzelnica"
"Strzelnica","Sielanka"
"Sielanka","Stara Wola"
"Stara Wola","Baba Jaga"
"Baba Jaga","ZOO - Cracovia Stadion"

"Centrum JP II","Przykopy"
"Przykopy","Kurdwanów"
"Kurdwanów","Bujaka"
"Bujaka","Halszki"
"Halszki","Myślenicka"
"Myślenicka","Swoszowice Autostrada"
"Swoszowice Autostrada","Swoszowice Osiedle"
"Swoszowice Osiedle","Swoszowice Pawilon"
"Swoszowice Pawilon","Swoszowice Sklep"
"Swoszowice Sklep","Swoszowice Poczta"
"Swoszowice Poczta","Swoszowice"
"Swoszowice","Wróblowice Szkoła"
"Wróblowice Szkoła","Wróblowice Rozwidlenie"
"Wróblowice Rozwidlenie","Ukraina"
"Ukraina","Zbydniowice"
"Zbydniowice","Zbydniowice Szkoła"
"Zbydniowice Szkoła","Golkowice - Centrum JP II"

"Krowodrza Górka","Zdrowa"
"Zdrowa","Mackiewicza"
"Mackiewicza","Clepardia"
"Clepardia","Siewna Wiadukt"
"Siewna Wiadukt","Siewna"
"Siewna","Natansona"
"Natansona","Słomczyńskiego"
"Słomczyńskiego","Kuźnicy Kołłątajowskiej"
"Kuźnicy Kołłątajowskiej","Banacha"
"Banacha","Górka Narodowa Wschód - Krowodrza Górka"

"Kombinat","Zajezdnia Nowa Huta"
"Zajezdnia Nowa Huta","Elektromontaż"
"Elektromontaż","Wańkowicza"
"Wańkowicza","Makuszyńskiego"
"Makuszyńskiego","Nad Dłubnią"
"Nad Dłubnią","Zajezdnia Bieńczyce"
"Zajezdnia Bieńczyce","Nowolipki"
"Nowolipki","Łowińskiego"
"Łowińskiego","Os.Mistrzejowice Nowe"
"Os.Mistrzejowice Nowe","Kupały"
"Kupały","Os.Kalinowe"
"Os.Kalinowe","Wiślicka"
"Wiślicka","Okulickiego"
"Okulickiego","Os.Oświecenia"
"Os.Oświecenia","Park Wodny"
"Park Wodny","Rondo Barei"
"Rondo Barei","Rondo Barei"
"Rondo Barei","Olsza II"
"Olsza II","Lublańska"
"Lublańska","Opolska Estakada"
"Opolska Estakada","Imbramowska"
"Imbramowska","Mackiewicza"
"Mackiewicza","Zdrowa"
"Zdrowa","Krowodrza Górka"
"Krowodrza Górka","Krowoderskich Zuchów"
"Krowoderskich Zuchów","Batalionu Skała AK"
"Batalionu Skała AK","Makowskiego"
"Makowskiego","Różyckiego"
"Różyckiego","Azory - Kombinat"

"Kombinat","Struga"
"Struga","Aleja Róż"
"Aleja Róż","Żeromskiego"
"Żeromskiego","Teatr Ludowy"
"Teatr Ludowy","Arka"
"Arka","Os.Jagiellońskie"
"Os.Jagiellońskie","Rondo Hipokratesa"
"Rondo Hipokratesa","Dunikowskiego"
"Dunikowskiego","Rondo Piastowskie"
"Rondo Piastowskie","Os.Złotego Wieku"
"Os.Złotego Wieku","Miśnieńska"
"Miśnieńska","Mistrzejowice"
"Mistrzejowice","Bohomolca"
"Bohomolca","Marchołta"
"Marchołta","Os.Oświecenia"
"Os.Oświecenia","Park Wodny"
"Park Wodny","Rondo Barei"
"Rondo Barei","Rondo Barei"
"Rondo Barei","Olszecka"
"Olszecka","Aleja 29 Listopada"
"Aleja 29 Listopada","Opolska Estakada"
"Opolska Estakada","Uniwersytet Rolniczy"
"Uniwersytet Rolniczy","Biskupa Prandoty"
"Biskupa Prandoty","Cmentarz Rakowicki Zachód"
"Cmentarz Rakowicki Zachód","Nowy Kleparz"
"Nowy Kleparz","Grottgera"
"Grottgera","Plac Inwalidów"
"Plac Inwalidów","Czarnowiejska"
"Czarnowiejska","Kawiory"
"Kawiory","Miasteczko Studenckie AGH"
"Miasteczko Studenckie AGH","Przybyszewskiego"
"Przybyszewskiego","Armii Krajowej"
"Armii Krajowej","Zarzecze"
"Zarzecze","Bronowice Wiadukt"
"Bronowice Wiadukt","Balicka Wiadukt"
"Balicka Wiadukt","Bronowice Małe"
"Bronowice Małe","Giełda Balicka P+R"
"Giełda Balicka P+R","Lindego"
"Lindego","UR Balicka"
"UR Balicka","Młynówka SKA"
"Młynówka SKA","Godlewskiego"
"Godlewskiego","Zakliki"
"Zakliki","Mydlniki - Kombinat"

"Pleszów","Zakład Przeróbki"
"Zakład Przeróbki","Szymańskiego"
"Szymańskiego","Igołomska"
"Igołomska","Prawocheńskiego"
"Prawocheńskiego","Rzepakowa"
"Rzepakowa","Rzepakowa Świetlica"
"Rzepakowa Świetlica","Żwirownia"
"Żwirownia","Ciekowiec"
"Ciekowiec","Przylasek Rusiecki - Pleszów"

"Cmentarz Batowice","Cmentarz Batowice"
"Cmentarz Batowice","Prądnik Czerwony"
"Prądnik Czerwony","Strzelców"
"Strzelców","Rondo Barei"
"Rondo Barei","Park Wodny"
"Park Wodny","Os.Oświecenia"
"Os.Oświecenia","Okulickiego"
"Okulickiego","Wiślicka"
"Wiślicka","Os.Dywizjonu 303"
"Os.Dywizjonu 303","Stella-Sawickiego"
"Stella-Sawickiego","Medweckiego"
"Medweckiego","Czyżyny Dworzec"
"Czyżyny Dworzec","Marii Dąbrowskiej"
"Marii Dąbrowskiej","Os.Kościuszkowskie"
"Os.Kościuszkowskie","DH Wanda"
"DH Wanda","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","Os.Zgody"
"Os.Zgody","Aleja Róż"
"Aleja Róż","Struga"
"Struga","Kombinat"
"Kombinat","Zajezdnia Nowa Huta"
"Zajezdnia Nowa Huta","Elektromontaż"
"Elektromontaż","Os.Na Stoku Szkoła"
"Os.Na Stoku Szkoła","Architektów"
"Architektów","Os.Na Stoku - Cmentarz Batowice"

"Dworzec Płaszów","Dworcowa"
"Dworcowa","Kabel"
"Kabel","Bieżanowska"
"Bieżanowska","Prosta"
"Prosta","Prokocim Rynek"
"Prokocim Rynek","Młodzieży"
"Młodzieży","Cmentarz Prokocim"
"Cmentarz Prokocim","Bieżanów Trafo"
"Bieżanów Trafo","Bieżanów Szkoła"
"Bieżanów Szkoła","Barbary"
"Barbary","Bieżanów Pomnik"
"Bieżanów Pomnik","Sucharskiego"
"Sucharskiego","Złocieniowa"
"Złocieniowa","Jasieńskiego"
"Jasieńskiego","Bieżanów - Dworzec Płaszów"

"Rżąka","Jerzmanowskiego"
"Jerzmanowskiego","Prokocim Szpital"
"Prokocim Szpital","Wlotowa"
"Wlotowa","Bieżanowska"
"Bieżanowska","Malborska"
"Malborska","Makowa"
"Makowa","Kamieńskiego"
"Kamieńskiego","Bonarka"
"Bonarka","Kamieńskiego Wiadukt"
"Kamieńskiego Wiadukt","Rondo Matecznego"
"Rondo Matecznego","Ludwinów"
"Ludwinów","Centrum Kongresowe"
"Centrum Kongresowe","Konopnickiej"
"Konopnickiej","Jubilat"
"Jubilat","Cracovia"
"Cracovia","Czarnowiejska"
"Czarnowiejska","Kawiory"
"Kawiory","Biprostal"
"Biprostal","Mazowiecka"
"Mazowiecka","Łobzów PKP"
"Łobzów PKP","Stachiewicza"
"Stachiewicza","Makowskiego"
"Makowskiego","Batalionu Skała AK"
"Batalionu Skała AK","Wyki"
"Wyki","Prądnik Biały Zachód"
"Prądnik Biały Zachód","Pachońskiego"
"Pachońskiego","Prądnik Biały - Rżąka"

"Borek Fałęcki","Góra Borkowska"
"Góra Borkowska","Judyma"
"Judyma","Kąpielowa"
"Kąpielowa","Wilga"
"Wilga","Zdrojowa"
"Zdrojowa","Swoszowice Sklep"
"Swoszowice Sklep","Swoszowice Poczta"
"Swoszowice Poczta","Swoszowice"
"Swoszowice","Fort Swoszowice"
"Fort Swoszowice","Landaua"
"Landaua","Kenara"
"Kenara","Wróblowice Cmentarz"
"Wróblowice Cmentarz","Wróblowice Dom Kultury"
"Wróblowice Dom Kultury","Wróblowice Rozwidlenie"
"Wróblowice Rozwidlenie","Ukraina"
"Ukraina","Zbydniowice"
"Zbydniowice","Zbydniowice Szkoła"
"Zbydniowice Szkoła","Golkowice - Borek Fałęcki"

"Judyma Szkoła","Os.Kliny"
"Os.Kliny","Forteczna"
"Forteczna","Kliny Zacisze"
"Kliny Zacisze","Pod Fortem"
"Pod Fortem","Kliny Zacisze"
"Kliny Zacisze","Borkowska"
"Borkowska","Las Borkowski"
"Las Borkowski","Polana Żywiecka"
"Polana Żywiecka","Łuczyńskiego"
"Łuczyńskiego","Żywiecka"
"Żywiecka","Rynek Fałęcki"
"Rynek Fałęcki","Solvay"

"Aleja Przyjaźni","Os.Zgody"
"Os.Zgody","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","DH Wanda"
"DH Wanda","Os.Na Lotnisku"
"Os.Na Lotnisku","Os.Strusia"
"Os.Strusia","Wiślicka"
"Wiślicka","Okulickiego"
"Okulickiego","Os.Oświecenia"
"Os.Oświecenia","Park Wodny"
"Park Wodny","Rondo Barei"
"Rondo Barei","Rondo Barei"
"Rondo Barei","Miechowity"
"Miechowity","Rondo Młyńskie"
"Rondo Młyńskie","Pilotów"
"Pilotów","Narzymskiego"
"Narzymskiego","Brodowicza"
"Brodowicza","Rondo Mogilskie"
"Rondo Mogilskie","Lubicz"
"Lubicz","Dworzec Główny"
"Dworzec Główny","Basztowa LOT"
"Basztowa LOT","Teatr Bagatela"
"Teatr Bagatela","Uniwersytet Jagielloński"
