"source","target"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","Bieńczycka"
"Bieńczycka","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Czyżyny"
"Czyżyny","Stella-Sawickiego"
"Stella-Sawickiego","AWF"
"AWF","Muzeum Lotnictwa"
"Muzeum Lotnictwa","Wieczysta"
"Wieczysta","Białucha"
"Białucha","Cystersów"
"Cystersów","Rondo Mogilskie"
"Rondo Mogilskie","Rondo Grzegórzeckie"
"Rondo Grzegórzeckie","Zabłocie"
"Zabłocie","Klimeckiego"
"Klimeckiego","Kuklińskiego"
"Kuklińskiego","Gromadzka"
"Gromadzka","Lipska"
"Lipska","Dworzec Płaszów Estakada"
"Dworzec Płaszów Estakada","Kabel"
"Kabel","Bieżanowska"
"Bieżanowska","Wlotowa"
"Wlotowa","Prokocim"
"Prokocim","Prokocim Szpital"
"Prokocim Szpital","Teligi"
"Teligi","Nowy Prokocim"
"Nowy Prokocim","Ćwiklińskiej"
"Ćwiklińskiej","Nowy Bieżanów - Mistrzejowice"

"Mały Płaszów","Rzebika"
"Rzebika","Lipska"
"Lipska","Dworzec Płaszów Estakada"
"Dworzec Płaszów Estakada","Dworcowa"
"Dworcowa","Cmentarz Podgórski"
"Cmentarz Podgórski","Powstańców Wielkopolskich"
"Powstańców Wielkopolskich","Limanowskiego"
"Limanowskiego","Korona"
"Korona","Smolki"
"Smolki","Rondo Matecznego"
"Rondo Matecznego","Rzemieślnicza"
"Rzemieślnicza","Łagiewniki"
"Łagiewniki","Łagiewniki"
"Łagiewniki","Brożka"
"Brożka","Borsucza"
"Borsucza","Lipińskiego"
"Lipińskiego","Grota-Roweckiego"
"Grota-Roweckiego","Norymberska"
"Norymberska","Ruczaj"
"Ruczaj","Kampus UJ"
"Kampus UJ","Chmieleniec"
"Chmieleniec","Czerwone Maki - Mały Płaszów"

"Łagiewniki","Brożka"
"Brożka","Borsucza"
"Borsucza","Kobierzyńska"
"Kobierzyńska","Słomiana"
"Słomiana","Kapelanka"
"Kapelanka","Szwedzka"
"Szwedzka","Centrum Kongresowe"
"Centrum Kongresowe","Orzeszkowej"
"Orzeszkowej","Stradom"
"Stradom","Starowiślna"
