"id","label"
"249","Wyciąże Sklep"
"250","Wyciąska"
"251","Podstawie"
"252","Drożyska"
"253","Przylasek Wyciąski"
"254","Siejówka"
"255","Bartnicza"
"256","Wolica Sklep"
"257","Wolica Kościół"
"258","Rynek Dębnicki"
"259","Praska"
"260","Os.Robotnicze"
"261","Park Skały Twardowskiego"
"262","Pychowice"
"263","Rodzinna"
"264","Górka Pychowicka"
"265","Fort Bodzów"
"266","Kostrze Szkoła"
"267","Wały Wiślane"
"268","Kostrze Kapliczka"
"269","Kolna"
"270","Tyniecka Autostrada"
"271","Bolesława Śmiałego"
"272","Tyniec"
"273","Bogucianka"
"274","Czyżyny Dworzec"
"275","Na Załęczu Szkoła"
"276","Siwka"
"277","Wiklinowa"
"278","Isep"
"279","Zatyka"
"280","Szafrańska"
"281","Dworzec Główny Wschód"
"282","Muzeum Armii Krajowej"
"283","Kuźnicy Kołłątajowskiej"
"284","Słomczyńskiego"
"285","Natansona"
"286","Dożynkowa"
"287","Witkowice Nowe"
"288","Lubocza PKP"
"289","Wadów Szkoła"
"290","Wadów Osiedle"
"291","Łuczanowice Skrzyżowanie"
"292","Bystronia"
"293","Krowoderskich Zuchów"
"294","Batalionu Skała AK"
"295","Makowskiego"
"296","Różyckiego"
"297","Conrada"
"298","Rondo Ofiar Katynia"
"299","Katowicka"
"300","Ojcowska Dworek"
"301","Ojcowska Wągroda"
"302","Ojcowska"
"303","Bronowice Wielkie"
"304","Jasnogórska"
"305","Wyki"
"306","Skrajna"
"307","Jordanowska"
"308","Chabrowa"
"309","Os.Łokietka"
"310","Poziomkowa"
"311","Gospodarska"
"312","Tonie Skrzyżowanie"
"313","Na Budzyniu"
"314","Tonie"
"315","Gaik"
"316","Bronowice Wiadukt"
"317","Bronowice Małe"
"318","Makuszyńskiego"
"319","Nad Dłubnią"
"320","Zajezdnia Bieńczyce"
"321","Petöfiego"
"322","Jagiełły"
"323","Jana Kazimierza"
"324","Leszka Białego"
"325","Os.Na Stoku Szkoła"
"326","Grębałów"
"327","Gustawa Morcinka"
"328","Kantorowice"
"329","Zesławice Ogródki Działkowe"
"330","Łęczycka"
"331","Cedyńska"
"332","Wiślicka"
"333","Os.Strusia"
"334","Os.Na Lotnisku"
"335","Os.Jagiellońskie"
"336","Arka"
"337","Os.Górali"
"338","Os.Zielone"
"339","Orkana"
"340","Os.Willowe"
"341","Os.Wandy"
"342","Szpital Żeromskiego"
"343","Sieroszewskiego"
"344","Klasztor Cystersów"
"345","Stare Wiślisko"
"346","Lasek Mogilski"
"347","Szparagowa"
"348","Garbarnia"
"349","Jeżowa"
"350","Albatrosów"
"351","Surzyckiego"
"352","Konopnickiej"
"353","Cmentarz Rakowicki"
"354","Narzymskiego"
"355","Pilotów"
"356","Akacjowa"
"357","Spadochroniarzy"
"358","Ugorek"
"359","Szpital Rydygiera"
"360","Okulickiego"
"361","Os.Oświecenia"
"362","Park Wodny"
"363","Rondo Barei"
"364","Miechowity"
"365","Rondo Młyńskie"
"366","Brodowicza"
"367","Stoczniowców"
"368","Saska"
"369","Szczecińska"
"370","Bacutil"
"371","Półłanki"
"372","Bieżanów Bazy"
"373","Agatowa"
"374","Płaszowska"
"375","Łanowa"
"376","Motyla"
"377","Zajezdnia Płaszów"
"378","Płk. Dąbka"
"379","TAURON Arena Kraków"
"380","Meissnera"
"381","Pszona"
"382","Strzelców"
"383","Brogi"
"384","Bosaków"
"385","Os.Dywizjonu 303"
"386","Medweckiego"
"387","Azory"
"388","Łokietka"
"389","Urząd Marszałkowski"
"390","Wrocławska"
"391","Branice Pagórek"
"392","Branice Na Dole"
"393","Branice Szkoła"
"394","Branice"
"395","Branice Ośrodek Zdrowia"
"396","Chałupki Górne"
"397","Kąkolowa"
"398","Truskawkowa"
"399","Olsza II"
"400","Lublańska"
"401","Imbramowska"
"402","Mackiewicza"
"403","Zdrowa"
"404","Lekarska"
"405","Bratysławska"
"406","Sucha"
"407","Fredry"
"408","Turowicza"
"409","Przykopy"
"410","Bujaka"
"411","Wysłouchów"
"412","Bojki"
"413","Kurdwanów Szkoła"
"414","Cechowa"
"415","Przy Kuźni"
"416","Hallera"
"417","Słona Woda"
"418","Kosocicka"
"419","Wielicka"
"420","Jerzmanowskiego"
"421","Mała Góra"
"422","Bieżanów Cmentarz"
"423","Ks.Łaczka"
"424","Bieżanów Drożdżownia PKP"
"425","Drożdżowa"
"426","Ślósarczyka"
"427","Bieżanów Kaim"
"428","Cracovia Błonia"
"429","Instytut Reumatologii"
"430","Przegon"
"431","Stara Wola"
"432","Baba Jaga"
"433","Centrum JP II"
"434","Halszki"
"435","Myślenicka"
"436","Swoszowice Autostrada"
"437","Swoszowice Osiedle"
"438","Swoszowice Pawilon"
"439","Swoszowice Sklep"
"440","Swoszowice Poczta"
"441","Swoszowice"
"442","Wróblowice Szkoła"
"443","Wróblowice Rozwidlenie"
"444","Ukraina"
"445","Zbydniowice"
"446","Zbydniowice Szkoła"
"447","Clepardia"
"448","Siewna Wiadukt"
"449","Siewna"
"450","Banacha"
"451","Nowolipki"
"452","Łowińskiego"
"453","Os.Mistrzejowice Nowe"
"454","Kupały"
"455","Os.Kalinowe"
"456","Bohomolca"
"457","Marchołta"
"458","Olszecka"
"459","Grottgera"
"460","Czarnowiejska"
"461","Kawiory"
"462","Przybyszewskiego"
"463","Armii Krajowej"
"464","Zarzecze"
"465","Giełda Balicka P+R"
"466","Lindego"
"467","UR Balicka"
"468","Młynówka SKA"
"469","Godlewskiego"
"470","Zakliki"
"471","Igołomska"
"472","Prawocheńskiego"
"473","Rzepakowa"
"474","Rzepakowa Świetlica"
"475","Żwirownia"
"476","Ciekowiec"
"477","Cmentarz Batowice"
"478","Marii Dąbrowskiej"
"479","Os.Kościuszkowskie"
"480","Architektów"
"481","Prosta"
"482","Prokocim Rynek"
"483","Młodzieży"
"484","Cmentarz Prokocim"
"485","Bieżanów Trafo"
"486","Bieżanów Szkoła"
"487","Barbary"
"488","Bieżanów Pomnik"
"489","Sucharskiego"
"490","Złocieniowa"
"491","Jasieńskiego"
"492","Rżąka"
"493","Malborska"
"494","Makowa"
"495","Kamieńskiego"
"496","Bonarka"
"497","Kamieńskiego Wiadukt"
"498","Ludwinów"
"499","Stachiewicza"
"500","Prądnik Biały Zachód"
"501","Pachońskiego"
"502","Góra Borkowska"
"503","Judyma"
"504","Kąpielowa"
"505","Wilga"
"506","Zdrojowa"
"507","Fort Swoszowice"
"508","Landaua"
"509","Kenara"
"510","Wróblowice Cmentarz"
"511","Wróblowice Dom Kultury"
"512","Judyma Szkoła"
"513","Os.Kliny"
"514","Forteczna"
"515","Kliny Zacisze"
"516","Pod Fortem"
"517","Borkowska"
"518","Las Borkowski"
"519","Polana Żywiecka"
"520","Łuczyńskiego"
"521","Żywiecka"
"522","Rynek Fałęcki"
"523","Panieńskich Skał"
"524","Królowej Jadwigi"
"525","Raczkiewicza"
"526","Leśmiana"
"527","Olszanica Kapliczka"
"528","Popielidów"
"529","Kruszwicka"
"530","Bulwarowa"
"531","Prądnik Biały"
"532","Biskupińska"
"533","Rybitwy Sklep"
"534","Rybitwy Dom Kultury"
"535","Rybitwy Rozjazd"
"536","Ks.Targosza"
"537","Przewóz"
"538","Wrobela"
"539","Bora-Komorowskiego"
"540","Wileńska"
"541","Wyciąże Zachód"
"542","Wyciąże Wiadukt"
"543","Cło"
"544","Brzeska"
"545","Zakępie"
"546","Wolica"
"547","Wolica Las"
"548","Kostrze OSP"
"549","Ślaskiego"
"550","Dąbrowa"
"551","Kostrze"
"552","Bagienna"
"553","Złocień"
"554","Zajezdnia Wola Duchacka"
"555","Puszkarska"
"556","AGH"
"557","Szpital Narutowicza"
"558","Bociana"
"559","Skotniki Szkoła"
"560","Baczyńskiego"
"561","Wrony"
"562","Warchałowskiego"
"563","Tretówka"
"564","Gnieźnieńska"
"565","Czerwieńskiego"
"566","Fiszera"
"567","Sławka"
"568","Janówka"
"569","Błonia Kościelnickie"
"570","Kościelniki"
"571","Zabłocie Kościelnickie"
"572","Resztówka"
"573","Ostafina"
"574","Hektary"
"575","Wróżenice Górka"
"576","Pleszowska"
"577","Opolska Kładka"
"578","Opolska"
"579","Nowy Bieżanów Południe"
"580","Os.Kurdwanów"
"581","Stojałowskiego"
"582","Beskidzka"
"583","Koszykarska"
"584","Elektrociepłownia Kraków"
"585","M1 Nowohucka"
"586","Bulwarowa Ogródki Działkowe"
"587","Opatkowice Wiadukt"
"588","Poronińska"
"589","Opatkowice Zadworze"
"590","Smoleńskiego"
"591","Opatkowice"
"592","Podgaje"
"593","Taklińskiego"
"594","Sidzina Olszyny"
"595","Żyzna"
"596","Petrażyckiego"
"597","Nałkowskiej"
"598","Tischnera"
"599","Komuny Paryskiej"
"600","Zawiła"
"601","Koksochemia"
"602","Nadbrzezie"
"603","Suchy Jar"
"604","Gwarecka"
"605","Karowa"
"606","Dymarek"
"607","Oczyszczalnia Ścieków Kujawy"
"608","Os.Na Stoku"
"609","Instytut Pediatrii"
"610","Sudolska"
"611","Lesisko"
"612","Urząd Skarbowy Nowa Huta"
"613","Batowice PKP"
"614","Batowice"
"615","Cmentarz Batowice Wschód"
"616","Zawiła Cmentarz"
"617","Skawina Podlipki"
"618","Skawina Rzepnik"
"619","Skawina Cmentarz"
"620","Skawina Popiełuszki"
"621","Skawina Ajka"
"622","Prusy"
"623","Prusy Szkoła"
"624","Prusy WSR"
"625","Sulechów"
"626","Dojazdów PKS"
"627","Dojazdów Działki"
"628","Kocmyrzów Rondo"
"629","Luborzyca Szkoła"
"630","Luborzyca"
"631","Wola Luborzycka Działki"
"632","Wola Luborzycka"
"633","Wola Luborzycka Las"
"634","Goszyce"
"635","Goszyce Remiza"
"636","Skrzeszowice"
"637","Łososkowice Szkoła"
"638","Mochnaniec"
"639","Winnicka"
"640","Fort Winnica"
"641","Tor Kajakowy"
"642","Janasówka"
"643","Skawina Podgórki Skawińskie"
"644","Skawina Samborek Most"
"645","Skawina Wojska Polskiego"
"646","Skawina Tyniecka"
"647","Skawina Tyniecka Osiedle"
"648","Skawina Sąd"
"649","Skawina Szkoła"
"650","Skawina Rynek"
"651","Skawina 29 Listopada"
"652","Skawina Starostwo Powiatowe"
"653","Skawina Ogrody"
"654","Skawina Kopernika"
"655","Skawina Cmentarz Komunalny"
"656","Skawina Wyspiańskiego Szkoła"
"657","Skawina Korabniki"
"658","Skawina Graniczna"
"659","Jugowicka"
"660","Wielicka Granica Miasta"
"661","Wieliczka CPN"
"662","Wieliczka Kościół"
"663","Wieliczka Cmentarz"
"664","Białoprądnicka"
"665","Piaszczysta"
"666","Glogera"
"667","Glogera Granica Miasta"
"668","Zielonki Skrzyżowanie"
"669","Zielonki UG"
"670","Zielonki Transformator"
"671","Zielonki Rozjazd"
"672","Trojanowice Krakowska"
"673","Mydlniki"
"674","Mydlniki Stawy"
"675","Mydlniki Granica Miasta"
"676","Szczyglice Podkamycze"
"677","Szczyglice Autostrada"
"678","Szczyglice Dom Kultury"
"679","Szczyglice"
"680","Balice Autostrada"
"681","Balice I"
"682","Bielany"
"683","Granica Miasta"
"684","Kryspinów"
"685","Budzyń Zalew na Piaskach"
"686","Balice Olszanica Bory"
"687","Balice Medweckiego"
"688","Balice Szkoła"
"689","Balice Instytut"
"690","Balice Winna Góra"
"691","Aleksandrowice Osiedle"
"692","Aleksandrowice"
"693","Morawica Cmentarz"
"694","Morawica Krzyżówka"
"695","Stawowa"
"696","Skrzyżowanie do Podchruścia"
"697","Modlnica I Kolonia"
"698","Modlnica II"
"699","Szyce II"
"700","Szyce I"
"701","Wielka Wieś"
"702","Biały Kościół"
"703","Murownia"
"704","Czajowice"
"705","Bębło Stara Wieś"
"706","Bębło Łabajowa"
"707","Bębło Lasek"
"708","Będkowice Mosurowa"
"709","Będkowice Kawiory"
"710","Będkowice Borynia"
"711","Będkowice Cmentarz"
"712","Będkowice"
"713","Będkowice Długa"
"714","Fort Mogiła"
"715","Jeżynowa"
"716","Brama nr 5"
"717","Wolica Most"
"718","Niepołomice Kolejowa"
