"line_number","stop_name"
"14","Os.Złotego Wieku"
"14","Rondo Piastowskie"
"14","Dunikowskiego"
"14","Rondo Hipokratesa"
"14","DH Wanda"
"14","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"14","Bieńczycka"
"14","Rondo Czyżyńskie"
"14","Centralna"
"14","Nowohucka"
"14","M1 Al. Pokoju"
"14","TAURON Arena Kraków Al. Pokoju"
"14","Kraków Plaza"
"14","Dąbie"
"14","Ofiar Dąbia"
"14","Fabryczna"
"14","Francesco Nullo"
"14","Teatr Variété"
"14","Rondo Grzegórzeckie"
"14","Rondo Mogilskie"
"14","Lubicz"
"14","Dworzec Główny"
"14","Basztowa LOT"
"14","Teatr Bagatela"
"14","Batorego"
"14","Plac Inwalidów"
"14","Urzędnicza"
"14","Biprostal"
"14","Uniwersytet Pedagogiczny"
"14","Głowackiego"
"16","Mistrzejowice"
"16","Miśnieńska"
"16","Os.Złotego Wieku"
"16","Rondo Piastowskie"
"16","Dunikowskiego"
"16","Rondo Hipokratesa"
"16","DH Wanda"
"16","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"16","Os.Zgody"
"16","Plac Centralny im. R.Reagana"
"16","Struga"
"16","Kombinat"
"19","Borek Fałęcki"
"19","Borek Fałęcki I"
"19","Solvay"
"19","Sanktuarium Bożego Miłosierdzia"
"19","Łagiewniki"
"19","Rzemieślnicza"
"19","Rondo Matecznego"
"19","Smolki"
"19","Korona"
"19","Plac Bohaterów Getta"
"19","Św.Wawrzyńca"
"19","Miodowa"
"19","Starowiślna"
"19","Hala Targowa"
"19","Rondo Grzegórzeckie"
"19","Rondo Mogilskie"
"19","Cystersów"
"19","Białucha"
"20","Mały Płaszów"
"20","Rzebika"
"20","Lipska"
"20","Gromadzka"
"20","Kuklińskiego"
"20","Klimeckiego"
"20","Zabłocie"
"20","Rondo Grzegórzeckie"
"20","Rondo Mogilskie"
"20","Lubicz"
"20","Dworzec Główny"
"20","Poczta Główna"
"20","Plac Wszystkich Świętych"
"20","Filharmonia"
"20","Uniwersytet Jagielloński"
"20","Cracovia"
"20","Oleandry"
"20","Park Jordana"
"20","Reymana"
"21","Kopiec Wandy"
"21","Kombinat"
"21","Struga"
"21","Plac Centralny im. R.Reagana"
"21","Os.Zgody"
"21","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"21","DH Wanda"
"21","Rondo Hipokratesa"
"21","Dunikowskiego"
"21","Kleeberga"
"21","Piasta Kołodzieja"
"22","Borek Fałęcki"
"22","Borek Fałęcki I"
"22","Solvay"
"22","Sanktuarium Bożego Miłosierdzia"
"22","Łagiewniki"
"22","Brożka"
"22","Borsucza"
"22","Kobierzyńska"
"22","Słomiana"
"22","Kapelanka"
"22","Szwedzka"
"22","Centrum Kongresowe"
"22","Orzeszkowej"
"22","Stradom"
"22","Starowiślna"
"22","Hala Targowa"
"22","Rondo Grzegórzeckie"
"22","Teatr Variété"
"22","Francesco Nullo"
"22","Fabryczna"
"22","Ofiar Dąbia"
"22","Dąbie"
"22","Kraków Plaza"
"22","TAURON Arena Kraków Al. Pokoju"
"22","M1 Al. Pokoju"
"22","Nowohucka"
"22","Centralna"
"22","Rondo Czyżyńskie"
"22","Os.Kolorowe"
"22","Plac Centralny im. R.Reagana"
"22","Struga"
"22","Kombinat"
"22","Mrozowa"
"22","Blokowa"
"22","Agencja Kraków Wschód"
"23","Czerwone Maki"
"23","Chmieleniec"
"23","Kampus UJ"
"23","Ruczaj"
"23","Norymberska"
"23","Grota-Roweckiego"
"23","Lipińskiego"
"23","Borsucza"
"23","Brożka"
"23","Łagiewniki"
"23","Łagiewniki"
"23","Rzemieślnicza"
"23","Rondo Matecznego"
"23","Smolki"
"23","Korona"
"23","Limanowskiego"
"23","Powstańców Wielkopolskich"
"23","Cmentarz Podgórski"
"23","Dworcowa"
"23","Kabel"
"23","Bieżanowska"
"23","Wlotowa"
"23","Prokocim"
"23","Prokocim Szpital"
"23","Teligi"
"23","Nowy Prokocim"
"23","Ćwiklińskiej"
"24","Kurdwanów"
"24","Witosa"
"24","Nowosądecka"
"24","Piaski Nowe"
"24","Dauna"
"24","Bieżanowska"
"24","Kabel"
"24","Dworcowa"
"24","Cmentarz Podgórski"
"24","Powstańców Wielkopolskich"
"24","Plac Bohaterów Getta"
"24","Św.Wawrzyńca"
"24","Miodowa"
"24","Starowiślna"
"24","Poczta Główna"
"24","Dworzec Główny"
"24","Basztowa LOT"
"24","Teatr Bagatela"
"24","Batorego"
"24","Plac Inwalidów"
"24","Urzędnicza"
"24","Biprostal"
"24","Uniwersytet Pedagogiczny"
"24","Głowackiego"
"24","Bronowice"
"24","Wesele"
"24","Balicka Wiadukt"
"50","Dworzec Towarowy"
"50","Politechnika"
"50","Dworzec Główny Tunel"
"50","Rondo Mogilskie"
"50","Rondo Grzegórzeckie"
"50","Zabłocie"
"50","Klimeckiego"
"50","Kuklińskiego"
"50","Gromadzka"
"50","Lipska"
"50","Dworzec Płaszów Estakada"
"50","Kabel"
"50","Bieżanowska"
"50","Dauna"
"50","Piaski Nowe"
"50","Nowosądecka"
"50","Witosa"
"52","Czerwone Maki"
"52","Chmieleniec"
"52","Kampus UJ"
"52","Ruczaj"
"52","Norymberska"
"52","Grota-Roweckiego"
"52","Lipińskiego"
"52","Kobierzyńska"
"52","Słomiana"
"52","Kapelanka"
"52","Szwedzka"
"52","Centrum Kongresowe"
"52","Orzeszkowej"
"52","Stradom"
"52","Starowiślna"
"52","Poczta Główna"
"52","Dworzec Główny"
"52","Lubicz"
"52","Rondo Mogilskie"
"52","Cystersów"
"52","Białucha"
"52","Wieczysta"
"52","Muzeum Lotnictwa"
"52","AWF"
"52","Stella-Sawickiego"
"52","Czyżyny"
"52","Rondo Czyżyńskie"
"52","Bieńczycka"
"52","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"52","DH Wanda"
"52","Rondo Hipokratesa"
"52","Dunikowskiego"
"52","Kleeberga"
"52","Piasta Kołodzieja"
"70","Bardosa"
"70","Suche Stawy"
"70","Klasztorna"
"70","Os.Na Skarpie"
"70","Plac Centralny im. R.Reagana"
"70","Os.Kolorowe"
"70","Rondo Czyżyńskie"
"70","Czyżyny"
"70","Stella-Sawickiego"
"70","AWF"
"70","Muzeum Lotnictwa"
"70","Wieczysta"
"70","Białucha"
"70","Cystersów"
"70","Rondo Mogilskie"
"70","Lubicz"
"70","Dworzec Główny"
"70","Poczta Główna"
"70","Św.Gertrudy"
"70","Wawel"
"70","Stradom"
"70","Plac Wolnica"
"70","Korona"
"70","Smolki"
"70","Rondo Matecznego"
"70","Rzemieślnicza"
"78","Czerwone Maki"
"78","Chmieleniec"
"78","Kampus UJ"
"78","Ruczaj"
"78","Norymberska"
"78","Grota-Roweckiego"
"78","Lipińskiego"
"78","Kobierzyńska"
"78","Słomiana"
"78","Kapelanka"
"78","Szwedzka"
"78","Centrum Kongresowe"
"78","Orzeszkowej"
"78","Stradom"
"78","Wawel"
"78","Św.Gertrudy"
"78","Plac Wszystkich Świętych"
"78","Filharmonia"
"78","Teatr Bagatela"
"78","Basztowa LOT"
"78","Pędzichów"
"78","Nowy Kleparz"
"78","Dworzec Towarowy"
"78","Politechnika"
"78","Dworzec Główny Tunel"
"78","Rondo Mogilskie"
"78","Cystersów"
"78","Białucha"
"78","Wieczysta"
"78","Muzeum Lotnictwa"
"78","AWF"
"78","Stella-Sawickiego"
"78","Czyżyny"
"78","Rondo Czyżyńskie"
"78","Bieńczycka"
"78","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"78","Teatr Ludowy"
"78","Kocmyrzowska"
"78","Wańkowicza"
"78","Wiadukty"
"78","Darwina"
"78","Jarzębiny"
"0","Muzeum Inżynierii Miejskiej"
"0","Dajwór"
"0","Plac Bohaterów Getta"
"0","Korona"
"0","Plac Wolnica"
"0","Stradom"
"0","Wawel"
"0","Św.Gertrudy"
"0","Plac Wszystkich Świętych"
"0","Filharmonia"
"0","Uniwersytet Jagielloński"
"0","Cracovia"
"0","Oleandry"
"0","Park Jordana"
"0","Reymana"
"62","Plac Centralny im. R.Reagana"
"62","Os.Kolorowe"
"62","Rondo Czyżyńskie"
"62","Centralna"
"62","Nowohucka"
"62","M1 Al. Pokoju"
"62","TAURON Arena Kraków Al. Pokoju"
"62","Kraków Plaza"
"62","Dąbie"
"62","Ofiar Dąbia"
"62","Fabryczna"
"62","Francesco Nullo"
"62","Teatr Variété"
"62","Rondo Grzegórzeckie"
"62","Rondo Mogilskie"
"62","Lubicz"
"62","Dworzec Główny"
"62","Poczta Główna"
"62","Starowiślna"
"62","Stradom"
"62","Orzeszkowej"
"62","Centrum Kongresowe"
"62","Szwedzka"
"62","Kapelanka"
"62","Słomiana"
"62","Kobierzyńska"
"62","Lipińskiego"
"62","Grota-Roweckiego"
"62","Norymberska"
"62","Ruczaj"
"62","Kampus UJ"
"62","Chmieleniec"
"64","Os.Piastów"
"64","Piasta Kołodzieja"
"64","Kleeberga"
"64","Dunikowskiego"
"64","Rondo Hipokratesa"
"64","DH Wanda"
"64","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"64","Bieńczycka"
"64","Rondo Czyżyńskie"
"64","Czyżyny"
"64","Stella-Sawickiego"
"64","AWF"
"64","Muzeum Lotnictwa"
"64","Wieczysta"
"64","Białucha"
"64","Cystersów"
"64","Rondo Mogilskie"
"64","Lubicz"
"64","Dworzec Główny"
"64","Basztowa LOT"
"64","Teatr Bagatela"
"64","Batorego"
"64","Plac Inwalidów"
"64","Urzędnicza"
"64","Biprostal"
"64","Uniwersytet Pedagogiczny"
"64","Głowackiego"
"64","Bronowice"
"64","Wesele"
"64","Balicka Wiadukt"
"69","Nowy Bieżanów"
"69","Ćwiklińskiej"
"69","Nowy Prokocim"
"69","Teligi"
"69","Prokocim Szpital"
"69","Prokocim"
"69","Wlotowa"
"69","Bieżanowska"
"69","Kabel"
"69","Dworcowa"
"69","Cmentarz Podgórski"
"69","Powstańców Wielkopolskich"
"69","Plac Bohaterów Getta"
"69","Św.Wawrzyńca"
"69","Miodowa"
"69","Starowiślna"
"69","Poczta Główna"
"69","Plac Wszystkich Świętych"
"69","Filharmonia"
"69","Teatr Bagatela"
"69","Basztowa LOT"
"69","Dworzec Główny"
"69","Dworzec Główny Zachód"
"69","Politechnika"
"100","Salwator"
"100","Malczewskiego"
"100","Aleja Waszyngtona"
"101","Os.Podwawelskie"
"101","Centrum Kongresowe"
"101","Centrum Kongresowe"
